Song Title,Verse Start,Verse End,Spotify,YouTube
Datz Wuzup,0:41,1:36,y,https://www.youtube.com/watch?v=5hgBszI7ZW0
That's Wuz up,0:41,1:36,y,https://www.youtube.com/watch?v=5hgBszI7ZW0
That's Wuzup,0:41,1:36,y,https://www.youtube.com/watch?v=5hgBszI7ZW0
Thats Wuz up,0:41,1:36,y,https://www.youtube.com/watch?v=5hgBszI7ZW0
Thats Wuzup,0:41,1:36,y,https://www.youtube.com/watch?v=5hgBszI7ZW0
Entertainment 2.0,2:05,2:45,y,https://www.youtube.com/watch?v=lLKG12VaWqI
Everywhere We Go,1:05,1:46,y,https://www.youtube.com/watch?v=ZSYciL2M9oQ
Flawless Remix,2:19,3:54,y,https://www.youtube.com/watch?v=zU7bZQdgVG8
Freaks,1:12,1:43,y,https://www.youtube.com/watch?v=Z1FK7yKRVXQ
Get It All,1:30,2:07,y,https://www.youtube.com/watch?v=-JGbpVcSyPk
Get Like Me,1:26,2:07,y,https://www.youtube.com/watch?v=gO-g2hBRhOI
Get Low,1:20,1:51,y,https://www.youtube.com/watch?v=ka9AIoRw-WU
Get wit It,1:43,2:19,y,https://www.youtube.com/watch?v=ZZGDhvAy5mk
Girl on Fire (Inferno Version),2:55,3:16,y,https://www.youtube.com/watch?v=bCfSRJENSnc
Give It All To Me,0:59,1:29,y,https://www.youtube.com/watch?v=K5EDVgbJeco
Give Me all Your Luvin',2:01,2:15,y,https://www.youtube.com/watch?v=8csaC3xymqU
Grindin' Making Money,2:28,3:06,y,https://www.youtube.com/watch?v=YhsMtHC75XU
Haterade,1:55,2:29,y,https://www.youtube.com/watch?v=sO05i9hcMOo
Hello Good Morning (Remix),1:32,2:10,y,https://www.youtube.com/watch?v=OciO2MPnmzU
Hey Mama,0:11,3:13,y,https://www.youtube.com/watch?v=MSrN546CUYs
I Ain't Thru,1:20,2:01,y,https://www.youtube.com/watch?v=jdLAvOMHpqo
I Don't Give A,2:18,2:59,y,
I Luv Dem Strippers,2:19,3:15,y,
I Wanna Be with You,0:31,1:09,y,
I'm Out,0:13,1:06,y,
In My Head (Remix),1:09,1:45,y,
Knock Out,2:12,2:48,y,
La Dee Da Dee (We Like 2 Party),2:28,3:05,y,
Lay It Down,2:38,4:06,y,
Letting Go (Dutty Love),2:29,3:16,y,
Lil Freak,1:58,2:40,y,
Livin' It Up,2:15,2:44,y,
Lollipop Luxury,2:41,3:17,y,
Lookin' at Me,0:50,1:27,y,
Love More,2:08,2:45,y,
Low,1:27,2:07,y,
Make Me Proud,1:27,1:57,y,
MILF,2:33,3:13,y,
Monster,3:35,4:55,y,
Muthafucka Up,1:48,2:31,y,
My Chick Bad,2:16,2:50,y,
My Nigga (Remix),2:38,3:23,y,
No Flex Zone (Remix),1:52,3:12,y,
No Love (Remix),3:21,3:37,y,
Out of My Mind,1:15,1:59,y,
Ponytail,2:32,3:02,y,
Raining Men,1:27,2:04,y,
Rich Friday,2:03,2:40,y,
Roger That,0:24,1:25,y,
Senile,1:00,1:35,y,
Sex in Crazy Places,2:34,3:13,y,
Shakin' It 4 Daddy,2:11,2:42,y,
She Came to Give It to You,2:17,2:50,y,
So Bad,2:02,2:38,y,
Somebody Else,2:39,3:21,y,
Stilettos & T-Shirt,2:44,3:21,y,
Take It to the Head,1:54,2:36,y,
Tapout,2:56,3:50,y,
The Creep,1:36,2:06,y,
Throw Sum Mo,0:00,0:27,y,chorus
Till the World Ends (The Femme Fatale Remix),0:31,0:55,y,
Tonight I'm Getting Over You (Remix),2:39,3:11,y,
"Touchin, Lovin",2:33,2:53,y,
True Colors,2:21,2:38,y,
Turn Me On,0:15,3:20,y,
Twerk It,2:01,2:40,y,
Ucci Ucci,1:23,1:58,y,
Up All Night,1:14,2:04,y,
What's Wrong with Them,0:50,1:18,y,chorus
Where Them Girls At,1:30,2:00,y,
Woohoo,2:52,3:27,y,
Y.U. Mad,0:13,0:51,y,
YM Salute,2:39,3:04,y,
You the Boss,0:28,0:55,y,chorus
Affirmative Action,2:08,3:09,n,https://www.youtube.com/watch?v=lYFS0YpANcE
All About the Benjamins,3:11,4:04,n,https://www.youtube.com/watch?v=zmO7B_rvNdg
Always Love You,0:41,1:20,n,https://www.youtube.com/watch?v=9pSNVyLfmM0
Automatic (Teairra Mari song),2:26,3:09,n,https://www.youtube.com/watch?v=RMvdsMLzpaE
Batman,1:21,2:05,n,https://www.youtube.com/watch?v=qRNQKYoGGmU
Big Bidness,1:21,2:06,n,https://www.youtube.com/watch?v=F0r1Kq_509U
Birds,,,n,https://www.youtube.com/watch?v=z_n2p337Kh0
Born to Be Wild,2:16,2:43,n,https://www.youtube.com/watch?v=Jm-HVSF7ENM
Break Up (Remix),1:58,2:27,n,https://www.youtube.com/watch?v=gy-nDGVUYd4
Chocolate Legs (Remix),2:47,3:12,n,https://www.youtube.com/watch?v=EJwcw8EZtHg
Cupid's Got a Gun,0:49,1:13,n,https://www.youtube.com/watch?v=qDlLVtaCkJE
Danger Zone,2:16,2:51,n,https://www.youtube.com/watch?v=KjGSNfs09Rs
Danny Glover (Remix),1:54,3:33,n,https://www.youtube.com/watch?v=-wOeao9Tji8
Diamonds on My Neck,2:18,2:44,n,https://www.youtube.com/watch?v=3PE657YOjio
Do You Like It (Freak Shit),,,n,
Don't Mess With,,,n,https://www.youtube.com/watch?v=UShfs-AsCoA
Dope Dealer,1:35,2:35,n,https://www.youtube.com/watch?v=eU6DzDsDo5g
Dopeman,0:11,0:53,n,https://www.youtube.com/watch?v=DvnX1S4dVQY
Failure (Pussy Nigga),2:00,2:47,n,https://www.youtube.com/watch?v=qnB27XiE73E
Fireball,1:59,2:45,n,https://www.youtube.com/watch?v=4r8ho9FlyZc
For the Money,1:53,2:48,n,https://www.youtube.com/watch?v=ATxEE25nhkE
Fuck U Silly,0:00,0:16,n,https://www.youtube.com/watch?v=Pq6ejFHwALg
Get Low 4 Me (Remix),0:13,0:48,n,https://www.youtube.com/watch?v=DPY1EOCngu0
Gimmie Money,1:46,2:11,n,https://www.youtube.com/watch?v=ADRbdjrVAJs
Girls Kissing Girls,1:35,2:15,n,https://www.youtube.com/watch?v=e00RzSR1g4c
Hands Up,1:21,2:02,n,https://www.youtube.com/watch?v=VwdPfg2Yr7k
Hold Yuh (Remix),0:28,1:07,n,https://www.youtube.com/watch?v=Oz-u6I9bbSQ
I B On Dat,2:11,2:52,n,https://www.youtube.com/watch?v=aLNWhBFn7pM
I Bought That,1:49,2:37,n,https://www.youtube.com/watch?v=DuFzWfZ7QxM
I Love You,0:06,0:48,n,https://www.youtube.com/watch?v=JVUuxTfc82A
I Might,2:26,2:57,n,https://www.youtube.com/watch?v=nEDPWng4kwk
Kiss My Ass,1:12,1:47,n,https://www.youtube.com/watch?v=CMm1Ou3rhIw
Make It Last Forever (Remix),0:04,0:31,n,https://www.youtube.com/watch?v=beQqEql9Eno
Mean Walk,1:47,2:34,n,https://www.youtube.com/watch?v=hwoVTZTObKc
Mercy,0:43,1:51,n,https://www.youtube.com/watch?v=b9Fsv2PIZbM
Million Dolla Baby,0:52,1:34,n,https://www.youtube.com/watch?v=WGWC6MZJcCw
Minaj et Trois,1:30,2:16,n,https://www.youtube.com/watch?v=-nn0uVe3_Lw
Money Ain't a Thang,,,n,https://www.youtube.com/watch?v=KCAMHf09km8
Monstar Biz,,,n,
Never Really Mattered,0:43,1:51,n,https://www.youtube.com/watch?v=3PQ2GFlz1LY
New York Minute (Remix),1:23,2:10,n,https://www.youtube.com/watch?v=iAeLtEKzzaA
Not at All,0:04,0:57,n,https://www.youtube.com/watch?v=usWjD99LLRA
Old Enough (Remix),1:59,2:38,n,https://www.youtube.com/watch?v=yzBPC6w0x5E
One Night Only (Remix),2:47,3:25,n,https://www.youtube.com/watch?v=gQyV9otFFRs
Pamper Me,2:36,3:01,n,https://www.youtube.com/watch?v=0fK93n29wh8
Rock Star,0:47,1:47,n,https://www.youtube.com/watch?v=8yMv45XBK0s
She Likes Me,1:19,1:58,n,https://www.youtube.com/watch?v=WFS5-UrsKCo
Strippin in the Club,1:36,1:58,n,https://www.youtube.com/watch?v=dwWxkWSmsXI
Supa Hot,1:27,2:04,n,https://www.youtube.com/watch?v=dZ9K0WiKb4Q
Sweet Dreams (Remix),1:19,2:30,n,https://www.youtube.com/watch?v=q2FGk1pfU-c
T.E.M.P.O.,1:52,2:27,n,https://www.youtube.com/watch?v=Plp5pDAG4qw
Take It Off,2:27,3:06,n,https://www.youtube.com/watch?v=d6zjkHOD3Yc
Take That,,,n,
Teqkilla (Lost My Fone Out with Nicki Minaj Remix),2:09,2:48,n,https://www.youtube.com/watch?v=fN4afOcFN3c
Thinking,0:19,0:37,n,https://www.youtube.com/watch?v=GVsR3t7DH6c
Thinking to Myself (Her Eyes),3:45,4:25,n,https://www.youtube.com/watch?v=EDJXsJDvhHY
Up Out My Face,0:23,0:50,n,https://www.youtube.com/watch?v=5i7GEMQC2IY
Wanna Balla,0:40,0:53,n,https://www.youtube.com/watch?v=ph5XmUUY600
Watch What You Say,2:24,3:21,n,https://www.youtube.com/watch?v=BwLQOdDSnxA
We Are,,,n,https://www.youtube.com/watch?v=M-Jxm9T5ZwA
Where's Wayne?,2:36,2:56,n,https://www.youtube.com/watch?v=CfNb8eW3Wjk
Who Runs This?,1:53,2:30,n,https://www.youtube.com/watch?v=0oU2VatM4tM
Xcellent,0:44,1:14,n,https://www.youtube.com/watch?v=Y37snNwdNog
